"ESTABLISHMENT NAME","ADDRESS","ALDERMANIC DISTRICT","INSPECTION DATE","ESTABLISHMENT GRADE"
"BOO-BOO'S","405 S 2ND ST","12","09/14/2018","A"
"ROCKWELL AUTOMATION- RESTAURANT","1201 S 2ND ST","12","09/14/2018","A"
"PARKSIDE LIQUOR & GROCERY","2700 N MURRAY AV","3","09/14/2018","A"
"YAZEED MINI MART","2538 W NATIONAL AV","8","09/14/2018","A"
"VICKY QUICK MART","2426 N FARWELL AV","3","09/13/2018","A"
"SAVE-A-LOT FOODS #8015","6201 N TEUTONIA AV","9","09/13/2018","A"
"AMEPAK","2514 S 27TH ST","8","09/12/2018","A"
"INDIAN BAZZAR","5254 S 27TH ST","13","09/12/2018","A"
"MILWAUKEE YACHT CLUB- OUTDOOR GRILLING AREA","1700 N LINCOLN MEMORIAL DR","4","09/11/2018","A"
"THE ORIGINAL","2498 N BARTLETT AV","3","09/11/2018","A"
"TESS","2499 N BARTLETT AV","3","09/11/2018","A"
"CLUB CHARLIES","320 E MENOMONEE ST","4","09/11/2018","A"
"CROWNE ROYAL PLAZA MILWAUKEE AIRPORT","6401 S 13TH ST","13","09/11/2018","A"
"CORNER STORE","324 W WISCONSIN AV","4","09/11/2018","A"
"CENTRO CAFE","808 E CENTER ST","3","09/11/2018","A"
"SIMPLE CAFE","2124 N FARWELL AV","3","09/11/2018","B"
"AL-YOUSEF SUPERMARKET","6329 S 20TH ST","13","09/11/2018","A"
"CHECKERS","3431 W FOND DU LAC AV","7","09/10/2018","B"
"RED ELEPHANT CHOCOLATE","333 N RIVERWALK WA","4","09/07/2018","A"
"ONESTO","221 N BROADWAY","4","09/07/2018","A"
"MT. ZION WING OF GLORY C.O.G.I.C.","2630 N 6TH ST","6","09/07/2018","A"
"VIRGINIA STREET CAFETERIA","750 W VIRGINIA ST","12","09/07/2018","A"
"POTBELLY SANDWICH SHOP","2239 N PROSPECT AV","3","09/07/2018","A"
"DOMINO'S PIZZA","719 W WISCONSIN AV","4","09/07/2018","A"
"MARATHON","2306 W FOND DU LAC AV","15","09/07/2018","A"
"BP LISBON","5505 W LISBON AV","10","09/07/2018","A"
"BRADFORD BEACH","2400 N LINCOLN MEMORIAL DR","3","09/07/2018","A"
"VANGUARD","2659 S KINNICKINNIC AV","14","09/06/2018","A"
"MILWAUKEE COUNTY PARKS SOUTH SHORE","2900 S SHORE DR","14","09/06/2018","A"
"SAMS FOOD MARKET","1802 W CENTER ST","15","09/06/2018","A"
"CIELITO SALVADORENO LLC (ID #0787)","621 S 4TH ST","12","09/06/2018","MA"
"CITGO ON ATKINSON","818 W ATKINSON AV","6","09/05/2018","A"
"KENTUCKY FRIED CHICKEN","4400 N 60TH ST","2","09/05/2018","A"
"SAL'S PIZZA","2974 N OAKLAND AV","3","09/05/2018","A"
"THE HALAL GUYS","3133 N OAKLAND AVE","3","09/05/2018","A"
"WALGREENS #07809","2625 W NATIONAL AV","8","09/05/2018","A"
"TAQUERIA ARANDAS ID #547","717 S 2ND ST","12","09/05/2018","MA"
"DADDY'S SOUL FOOD & GRILLE","754 N 27TH ST","4","09/05/2018","A"
"BROTHER SUPERMARKET","2631 W VLIET ST","15","09/04/2018","B"
"JOHNNY ROCKETS - CONCOURSE D","5300 S HOWELL AV","13","09/04/2018","A"
"USINGERS CONCOURSE D","5300 S HOWELL AV","13","09/04/2018","A"
"MCDONALDS RESTAURANT","1220 N 35TH ST","4","09/04/2018","A"
"QWICK PANTRY","2336 W WISCONSIN AV","4","09/04/2018","A"
"PANTRY 41 #27","405 S 27TH ST","8","09/04/2018","A"
"TACO BELL #31490","2210 W WISCONSIN AV","4","09/04/2018","A"
"SCREAMING TUNA #3473","106 W SEEBOTH ST","12","09/04/2018","A"
"NONNA BARTOLOTTA'S-CONCOURSE D","5300 S HOWELL AV","13","09/04/2018","A"
"ECONO LODGE","6451 S 13TH ST","13","09/04/2018","A"
"ST. PAUL FISH CO.","400 N WATER ST","4","09/04/2018","A"
"MICHAEL'S FAMILY RESTAURANT","2220 W WISCONSIN AV","4","09/04/2018","A"
"HOMEWOOD SUITES HOTEL","500 N WATER ST","4","09/04/2018","A"
"MOTHERS FOOD AND LIQUOR","2438 W HOPKINS ST","6","09/04/2018","T"
"NORTH POINT","2272 N LINCOLN MEMORIAL DR","4","08/31/2018","A"
"GPC","8015 N 76TH ST","9","08/31/2018","A"
"VIENNA MINI MART","3801 N 39TH ST","7","08/31/2018","A"
"ZAZA STEAK AND LEMONADE","4919 W CAPITOL DR","7","08/31/2018","A"
